"MarkettypeID","TradingMonth","HML1"
"P9709","2011-01","0.040893"
"P9712","2011-01","0.042217"
"P9713","2011-01","0.040829"
"P9714","2011-01","0.040893"
"P9715","2011-01","0.039441"
"P9705","2011-02","-0.000462"
"P9706","2011-02","-0.029142"
"P9707","2011-02","-0.013768"
"P9710","2011-02","-0.030008"
"P9709","2011-02","-0.030126"
"P9712","2011-02","-0.029142"
"P9713","2011-02","-0.029182"
"P9714","2011-02","-0.030126"
"P9715","2011-02","-0.030008"
"P9705","2011-03","0.036368"
"P9706","2011-03","0.010275"
"P9707","2011-03","0.006882"
"P9710","2011-03","0.009483"
"P9709","2011-03","0.008039"
"P9712","2011-03","0.010275"
"P9713","2011-03","0.011650"
"P9714","2011-03","0.008039"
"P9715","2011-03","0.009483"
"P9705","2011-04","-0.014594"
"P9706","2011-04","0.005179"
"P9707","2011-04","-0.001617"
"P9710","2011-04","0.003395"
"P9709","2011-04","0.003979"
"P9712","2011-04","0.005179"
"P9713","2011-04","0.004492"
"P9714","2011-04","0.003979"
"P9715","2011-04","0.003395"
"P9705","2011-05","-0.069560"
"P9706","2011-05","0.001411"
"P9707","2011-05","-0.014330"
"P9710","2011-05","0.000903"
"P9709","2011-05","0.002114"
"P9712","2011-05","0.001411"
"P9713","2011-05","0.000222"
"P9714","2011-05","0.002114"
"P9715","2011-05","0.000903"
"P9705","2011-06","0.074013"
"P9706","2011-06","-0.015471"
"P9707","2011-06","-0.029895"
"P9710","2011-06","-0.017555"
"P9709","2011-06","-0.016585"
"P9712","2011-06","-0.015471"
"P9713","2011-06","-0.016619"
"P9714","2011-06","-0.016585"
"P9715","2011-06","-0.017555"
"P9705","2011-07","0.017246"
"P9706","2011-07","-0.048526"
"P9707","2011-07","-0.036405"
"P9710","2011-07","-0.045424"
"P9709","2011-07","-0.044865"
"P9712","2011-07","-0.048526"
"P9713","2011-07","-0.049045"
"P9714","2011-07","-0.044865"
"P9715","2011-07","-0.045424"
"P9705","2011-08","-0.027566"
"P9706","2011-08","-0.014155"
"P9707","2011-08","-0.049531"
"P9710","2011-08","-0.010494"
"P9709","2011-08","-0.012194"
"P9712","2011-08","-0.014155"
"P9713","2011-08","-0.012647"
"P9714","2011-08","-0.012194"
"P9715","2011-08","-0.010494"
"P9705","2011-09","0.009831"
"P9706","2011-09","0.037764"
"P9707","2011-09","0.013785"
"P9710","2011-09","0.027326"
"P9709","2011-09","0.036443"
"P9712","2011-09","0.037764"
"P9713","2011-09","0.028682"
"P9714","2011-09","0.036443"
"P9715","2011-09","0.027326"
"P9705","2011-10","-0.031837"
"P9706","2011-10","0.022534"
"P9707","2011-10","0.041551"
"P9710","2011-10","0.031817"
"P9709","2011-10","0.023869"
"P9712","2011-10","0.022534"
"P9713","2011-10","0.030583"
"P9714","2011-10","0.023869"
"P9715","2011-10","0.031817"
"P9705","2011-11","-0.002773"
"P9706","2011-11","-0.016278"
"P9707","2011-11","-0.036565"
"P9710","2011-11","-0.015362"
"P9709","2011-11","-0.014623"
"P9712","2011-11","-0.016278"
"P9713","2011-11","-0.017170"
"P9714","2011-11","-0.014623"
"P9715","2011-11","-0.015362"
"P9705","2011-12","0.027493"
"P9706","2011-12","0.077872"
"P9707","2011-12","0.070637"
"P9710","2011-12","0.074954"
"P9709","2011-12","0.078564"
"P9712","2011-12","0.077872"
"P9713","2011-12","0.074771"
"P9714","2011-12","0.078564"
"P9715","2011-12","0.074954"
"P9705","2012-01","-0.005810"
"P9706","2012-01","-0.001910"
"P9707","2012-01","0.003185"
"P9710","2012-01","-0.007692"
"P9709","2012-01","-0.007071"
"P9712","2012-01","-0.001910"
"P9713","2012-01","-0.002366"
"P9714","2012-01","-0.007071"
"P9715","2012-01","-0.007692"
"P9705","2012-02","0.011048"
"P9706","2012-02","-0.035494"
"P9707","2012-02","0.006512"
"P9710","2012-02","-0.032177"
"P9709","2012-02","-0.035422"
"P9712","2012-02","-0.035494"
"P9713","2012-02","-0.032431"
"P9714","2012-02","-0.035422"
"P9715","2012-02","-0.032177"
"P9705","2012-03","-0.016996"
"P9706","2012-03","0.013754"
"P9707","2012-03","-0.033224"
"P9710","2012-03","0.012140"
"P9709","2012-03","0.011931"
"P9712","2012-03","0.013754"
"P9713","2012-03","0.014016"
"P9714","2012-03","0.011931"
"P9715","2012-03","0.012140"
"P9705","2012-04","-0.031252"
"P9706","2012-04","-0.016191"
"P9707","2012-04","-0.010389"
"P9710","2012-04","-0.018841"
"P9709","2012-04","-0.020842"
"P9712","2012-04","-0.016191"
"P9713","2012-04","-0.014234"
"P9714","2012-04","-0.020842"
"P9715","2012-04","-0.018841"
"P9705","2012-05","-0.001541"
"P9706","2012-05","-0.022805"
"P9707","2012-05","0.004957"
"P9710","2012-05","-0.014977"
"P9709","2012-05","-0.020160"
"P9712","2012-05","-0.022805"
"P9713","2012-05","-0.017697"
"P9714","2012-05","-0.020160"
"P9715","2012-05","-0.014977"
"P9705","2012-06","0.024072"
"P9706","2012-06","0.008672"
"P9707","2012-06","0.028404"
"P9710","2012-06","0.011939"
"P9709","2012-06","0.012482"
"P9712","2012-06","0.008672"
"P9713","2012-06","0.008225"
"P9714","2012-06","0.012482"
"P9715","2012-06","0.011939"
"P9705","2012-07","-0.026425"
"P9706","2012-07","0.008590"
"P9707","2012-07","-0.039103"
"P9710","2012-07","0.007370"
"P9709","2012-07","0.008125"
"P9712","2012-07","0.008590"
"P9713","2012-07","0.007305"
"P9714","2012-07","0.008125"
"P9715","2012-07","0.007370"
"P9705","2012-08","0.031418"
"P9706","2012-08","-0.013849"
"P9707","2012-08","0.051466"
"P9710","2012-08","-0.024495"
"P9709","2012-08","-0.009528"
"P9712","2012-08","-0.013849"
"P9713","2012-08","-0.028652"
"P9714","2012-08","-0.009528"
"P9715","2012-08","-0.024495"
"P9705","2012-09","-0.003255"
"P9706","2012-09","-0.017613"
"P9707","2012-09","0.045455"
"P9710","2012-09","-0.019912"
"P9709","2012-09","-0.020544"
"P9712","2012-09","-0.017613"
"P9713","2012-09","-0.017137"
"P9714","2012-09","-0.020544"
"P9715","2012-09","-0.019912"
"P9705","2012-10","-0.000463"
"P9706","2012-10","0.009161"
"P9707","2012-10","0.014063"
"P9710","2012-10","0.008142"
"P9709","2012-10","0.007640"
"P9712","2012-10","0.009161"
"P9713","2012-10","0.009670"
"P9714","2012-10","0.007640"
"P9715","2012-10","0.008142"
"P9705","2012-11","0.030423"
"P9706","2012-11","0.049552"
"P9707","2012-11","0.054017"
"P9710","2012-11","0.051992"
"P9709","2012-11","0.049476"
"P9712","2012-11","0.049552"
"P9713","2012-11","0.052408"
"P9714","2012-11","0.049476"
"P9715","2012-11","0.051992"
"P9705","2012-12","-0.008860"
"P9706","2012-12","0.019684"
"P9707","2012-12","0.030434"
"P9710","2012-12","0.017430"
"P9709","2012-12","0.020988"
"P9712","2012-12","0.019684"
"P9713","2012-12","0.016351"
"P9714","2012-12","0.020988"
"P9715","2012-12","0.017430"
"P9705","2013-01","-0.026691"
"P9706","2013-01","0.012456"
"P9707","2013-01","-0.008533"
"P9710","2013-01","0.013377"
"P9709","2013-01","0.014323"
"P9712","2013-01","0.012456"
"P9713","2013-01","0.012279"
"P9714","2013-01","0.014323"
"P9715","2013-01","0.013377"
"P9705","2013-02","-0.031543"
"P9706","2013-02","-0.018042"
"P9707","2013-02","0.014530"
"P9710","2013-02","-0.011772"
"P9709","2013-02","-0.013598"
"P9712","2013-02","-0.018042"
"P9713","2013-02","-0.016096"
"P9714","2013-02","-0.013598"
"P9715","2013-02","-0.011772"
"P9705","2013-03","-0.015726"
"P9706","2013-03","-0.013050"
"P9707","2013-03","0.023943"
"P9710","2013-03","-0.009729"
"P9709","2013-03","-0.011906"
"P9712","2013-03","-0.013050"
"P9713","2013-03","-0.010908"
"P9714","2013-03","-0.011906"
"P9715","2013-03","-0.009729"
"P9705","2013-04","-0.032399"
"P9706","2013-04","0.007882"
"P9707","2013-04","0.033963"
"P9710","2013-04","0.014212"
"P9709","2013-04","0.011257"
"P9712","2013-04","0.007882"
"P9713","2013-04","0.011103"
"P9714","2013-04","0.011257"
"P9715","2013-04","0.014212"
"P9705","2013-05","-0.038218"
"P9706","2013-05","-0.029334"
"P9707","2013-05","-0.042359"
"P9710","2013-05","-0.027813"
"P9709","2013-05","-0.024026"
"P9712","2013-05","-0.029334"
"P9713","2013-05","-0.033288"
"P9714","2013-05","-0.024026"
"P9715","2013-05","-0.027813"
"P9705","2013-06","-0.050620"
"P9706","2013-06","0.000822"
"P9707","2013-06","0.011994"
"P9710","2013-06","0.009903"
"P9709","2013-06","0.005770"
"P9712","2013-06","0.000822"
"P9713","2013-06","0.005554"
"P9714","2013-06","0.005770"
"P9715","2013-06","0.009903"
"P9705","2013-07","-0.015523"
"P9706","2013-07","-0.001922"
"P9707","2013-07","0.006062"
"P9710","2013-07","0.000786"
"P9709","2013-07","0.002368"
"P9712","2013-07","-0.001922"
"P9713","2013-07","-0.004017"
"P9714","2013-07","0.002368"
"P9715","2013-07","0.000786"
"P9705","2013-08","0.022222"
"P9706","2013-08","0.000976"
"P9707","2013-08","-0.008098"
"P9710","2013-08","-0.001118"
"P9709","2013-08","0.000369"
"P9712","2013-08","0.000976"
"P9713","2013-08","-0.000679"
"P9714","2013-08","0.000369"
"P9715","2013-08","-0.001118"
"P9705","2013-09","-0.046729"
"P9706","2013-09","0.028554"
"P9707","2013-09","0.012027"
"P9710","2013-09","0.031963"
"P9709","2013-09","0.033868"
"P9712","2013-09","0.028554"
"P9713","2013-09","0.026475"
"P9714","2013-09","0.033868"
"P9715","2013-09","0.031963"
"P9705","2013-10","0.015628"
"P9706","2013-10","0.024334"
"P9707","2013-10","0.008113"
"P9710","2013-10","0.021473"
"P9709","2013-10","0.020912"
"P9712","2013-10","0.024334"
"P9713","2013-10","0.025014"
"P9714","2013-10","0.020912"
"P9715","2013-10","0.021473"
"P9705","2013-11","0.054446"
"P9706","2013-11","-0.004821"
"P9707","2013-11","-0.032558"
"P9710","2013-11","0.004040"
"P9709","2013-11","0.005128"
"P9712","2013-11","-0.004821"
"P9713","2013-11","-0.006228"
"P9714","2013-11","0.005128"
"P9715","2013-11","0.004040"
"P9705","2013-12","0.011708"
"P9706","2013-12","0.006426"
"P9707","2013-12","0.026367"
"P9710","2013-12","0.005148"
"P9709","2013-12","0.003458"
"P9712","2013-12","0.006426"
"P9713","2013-12","0.008325"
"P9714","2013-12","0.003458"
"P9715","2013-12","0.005148"
"P9705","2014-01","-0.049869"
"P9706","2014-01","0.011126"
"P9707","2014-01","0.016786"
"P9710","2014-01","0.019262"
"P9709","2014-01","0.019176"
"P9712","2014-01","0.011126"
"P9713","2014-01","0.011162"
"P9714","2014-01","0.019176"
"P9715","2014-01","0.019262"
"P9705","2014-02","-0.020135"
"P9706","2014-02","0.006902"
"P9707","2014-02","-0.002123"
"P9710","2014-02","0.002356"
"P9709","2014-02","0.003771"
"P9712","2014-02","0.006902"
"P9713","2014-02","0.004885"
"P9714","2014-02","0.003771"
"P9715","2014-02","0.002356"
"P9705","2014-03","0.039034"
"P9706","2014-03","0.008320"
"P9707","2014-03","-0.006325"
"P9710","2014-03","0.002588"
"P9709","2014-03","0.003880"
"P9712","2014-03","0.008320"
"P9713","2014-03","0.006623"
"P9714","2014-03","0.003880"
