code,date,type,递延所得税资产,递延所得税负债,优先股账面值,所有者权益合计,book_equity
000021,2011-12-31,A,47006032.0,12788785.65,0.0,4320624948.79,4286407702.4399996
000021,2012-12-31,A,56075854.93,7129906.81,0.0,4156232930.45,4107286982.33
000021,2013-12-31,A,60812284.06,9909147.76,0.0,4961145645.58,4910242509.28
000021,2014-12-31,A,42839029.87,5370739.47,0.0,5059021451.72,5021553161.320001
000021,2015-12-31,A,65901121.65,85172191.44,0.0,5205680792.76,5224951862.55
000021,2016-12-31,A,126790890.67,153460471.27,0.0,5297328420.94,5323998001.54
000021,2017-12-31,A,110962645.23,191285835.42,0.0,5928759493.6,6009082683.790001
000021,2018-12-31,A,37724703.55,151912124.13,0.0,6769805989.69,6883993410.2699995
000021,2019-12-31,A,59177179.19,138406474.34,0.0,7102109677.68,7181338972.830001
000022,2006-12-31,A,0.0,0.0,0.0,3055232259.0,3055232259.0
000022,2007-12-31,A,29020636.0,4446249.0,0.0,3144621751.0,3120047364.0
000022,2008-12-31,A,32980105.0,864000.0,0.0,3327657377.0,3295541272.0
000022,2009-12-31,A,44288280.0,1324400.0,0.0,3420591530.0,3377627650.0
000022,2010-12-31,A,52083662.0,1324800.0,0.0,3807157832.0,3756398970.0
000022,2011-12-31,A,59250919.0,1142500.0,0.0,4106064071.0,4047955652.0
000022,2012-12-31,A,67969034.0,1022500.0,0.0,4465009902.0,4398063368.0
000022,2013-12-31,A,68259696.74,1115000.0,0.0,4728076181.87,4660931485.13
000022,2014-12-31,A,26941859.72,1545000.0,0.0,4875599600.43,4850202740.71
000022,2015-12-31,A,11274320.82,1907500.0,0.0,5229310430.12,5219943609.3
000022,2016-12-31,A,12221758.47,1857500.0,0.0,5636993736.42,5626629477.95
000022,2017-12-31,A,11031026.43,10584342.8,0.0,6567042909.63,6566596226.0
000023,2006-12-31,A,0.0,0.0,0.0,269061667.52,269061667.52
000023,2007-12-31,A,24959478.9,0.0,0.0,298160561.35,273201082.45000005
000023,2008-12-31,A,35313354.12,0.0,0.0,301972156.17,266658802.05
000023,2009-12-31,A,40355056.67,0.0,0.0,313931514.92,273576458.25
000023,2010-12-31,A,40504221.26,0.0,0.0,317393759.21,276889537.95
000023,2011-12-31,A,40046927.01,0.0,0.0,345238963.87,305192036.86
000023,2012-12-31,A,15946188.24,0.0,0.0,407387375.76,391441187.52
000023,2013-12-31,A,15988725.16,0.0,0.0,415047218.56,399058493.4
000023,2014-12-31,A,19118978.19,0.0,0.0,424563337.7,405444359.51
000023,2015-12-31,A,20979428.26,0.0,0.0,446551533.67,425572105.41
000023,2016-12-31,A,22609470.52,0.0,0.0,455604217.64,432994747.12
000023,2017-12-31,A,24669714.01,0.0,0.0,478798688.28,454128974.27
000023,2018-12-31,A,18437648.91,0.0,0.0,506960080.43,488522431.52
000023,2019-12-31,A,20831116.23,0.0,0.0,584900676.2,564069559.97
000024,2006-12-31,A,0.0,0.0,0.0,4497740069.0,4497740069.0
000024,2007-12-31,A,9016967.0,547380.0,0.0,9144744728.0,9136275141.0
000024,2008-12-31,A,40876227.0,34300.0,0.0,16279507004.0,16238665077.0
000024,2009-12-31,A,290485972.0,731713.0,0.0,18302036477.0,18012282218.0
000024,2010-12-31,A,460455365.0,0.0,0.0,21145916406.0,20685461041.0
000024,2011-12-31,A,734300575.0,0.0,0.0,24276993699.0,23542693124.0
000024,2012-12-31,A,942147425.36,0.0,0.0,29439279000.13,28497131574.77
000024,2013-12-31,A,770257880.69,108596697.05,0.0,38917167204.76,38255506021.12
000024,2014-12-31,A,1239828866.61,35822337.24,0.0,43746779112.65,42542772583.28
000025,2006-12-31,A,0.0,2015902.31,0.0,189214465.86,191230368.17000002
000025,2007-12-31,A,24733193.41,3267374.3,0.0,205115834.18,183650015.07000002
000025,2008-12-31,A,28224804.82,2583414.85,0.0,186986825.91,161345435.94
000025,2009-12-31,A,29812182.3,2415939.89,0.0,195079384.84,167683142.42999998
000025,2010-12-31,A,31972434.56,2005026.7,0.0,199797833.66,169830425.79999998
000025,2011-12-31,A,29628521.48,1592459.86,0.0,201381652.02,173345590.40000004
000025,2012-12-31,A,26709762.78,1345258.91,0.0,201061516.24,175697012.37
000025,2013-12-31,A,24566702.71,1248087.86,0.0,203715255.76,180396640.91
