code,year,date,circulate,return1,return2,type,BE,BM_ratio
000935,2006,2006-12-01,964656.0,0.379104,0.379104,4,495526974.86,0.5136825716732183
000768,2006,2006-12-01,4139490.54,0.02812,0.02812,4,2127557743.78,0.5139660842853382
600885,2006,2006-12-01,307765.35,-0.018824,-0.018824,1,158219899.38,0.514092633819889
600588,2006,2006-12-01,2546575.2,0.16314,0.16314,1,1309650702.0,0.514279217829499
000887,2006,2006-12-01,640495.86,0.393745,3.904881,4,329854109.29,0.5149980349443632
000908,2006,2006-12-01,652500.0,0.516736,0.516736,4,336395667.89,0.5155489163065133
600557,2006,2006-12-01,949129.32,0.056856,0.056856,1,492912280.76,0.519331001975579
600814,2006,2006-12-01,891236.06,0.011881,0.011881,1,463084633.92,0.519598179095222
000006,2006,2006-12-01,2539123.53,0.064286,0.064286,4,1326413366.01,0.5223902462161816
600527,2006,2006-12-01,650754.0,0.125683,0.125683,1,340306986.06,0.5229425959118192
600738,2006,2006-12-01,587209.48,-0.016997,-0.016997,1,307464607.7,0.5236029358722206
000004,2006,2006-12-01,213269.84,-0.012048,-0.012048,4,112282767.73,0.5264821679896229
000978,2006,2006-12-01,883080.02,0.233407,0.233407,4,465566376.61,0.5272074625921216
600758,2006,2006-12-01,275330.54,-0.024017,-0.024017,1,145264476.32,0.5276003029667541
600088,2006,2006-12-01,1519986.0,0.033081,0.033081,1,802300097.86,0.5278338733777811
600883,2006,2006-12-01,590353.92,0.010381,0.010381,1,314142723.32,0.5321260902612454
000639,2006,2006-12-01,253112.95,-0.063091,-0.063091,4,135058648.29,0.5335904318210506
600059,2006,2006-12-01,2261635.74,0.362802,0.362802,1,1212436234.56,0.5360882007285576
600675,2006,2006-12-01,4799274.38,0.070506,0.070506,1,2584491375.48,0.5385171113054803
600038,2006,2006-12-01,2116770.24,-0.050338,-0.050338,1,1141132637.98,0.539091402749502
600089,2006,2006-12-01,4307031.99,0.082549,0.082549,1,2326706253.18,0.5402110452353523
600438,2006,2006-12-01,1868520.0,0.230909,0.230909,1,1018314852.15,0.5449847216781196
000739,2006,2006-12-01,834174.93,0.65146,0.65146,4,455769863.49,0.5463720463164723
002030,2006,2006-12-01,513552.68,0.0,0.0,4,280690059.57,0.5465652707138049
000428,2006,2006-12-01,1070315.11,0.19606,0.19606,4,585081570.89,0.5466442222702059
600970,2006,2006-12-01,2095250.0,0.009078,0.009078,1,1147638018.57,0.5477332149242333
000665,2006,2006-12-01,301583.17,0.127102,0.127103,4,167520745.16,0.5554711330874332
000505,2006,2006-12-01,432425.59,0.111554,0.111554,4,240540022.73,0.55625760429673
002033,2006,2006-12-01,585884.41,-0.012696,-0.012696,4,326040801.63,0.556493390274713
000710,2006,2006-12-01,178845.33,-0.135294,-0.135294,4,99781948.09,0.5579231400115396
600379,2006,2006-12-01,543500.0,0.146624,0.146624,1,303603124.22,0.5586074042686293
600327,2006,2006-12-01,1324356.0,0.097222,0.097222,1,741802982.7,0.5601235488796065
000723,2006,2006-12-01,526774.53,0.061798,0.061798,4,295375232.34,0.5607242102992337
600202,2006,2006-12-01,862051.59,0.039494,0.039494,1,485043184.12,0.5626614343580063
600195,2006,2006-12-01,1926180.0,0.015371,0.015371,1,1085225952.93,0.5634083797620161
600549,2006,2006-12-01,2659464.0,0.065757,0.065757,1,1499604767.95,0.5638748138534683
000796,2006,2006-12-01,670038.42,0.320896,0.320896,4,378229360.42,0.5644890638062218
000616,2006,2006-12-01,1480905.76,-0.070796,-0.070796,4,836133166.8,0.56460930153989
600609,2006,2006-12-01,1201818.8,0.016878,0.016878,1,681369983.86,0.5669490141608702
000951,2006,2006-12-01,2879955.0,0.641497,0.641497,4,1633404222.93,0.5671631059964479
600436,2006,2006-12-01,1094656.0,0.110649,0.110649,1,621093996.0,0.5673873764908793
600183,2006,2006-12-01,3176300.39,-0.001215,-0.001215,1,1809422717.29,0.5696636007685658
000525,2006,2006-12-01,1267435.24,0.044286,0.044286,4,722871783.6,0.5703421845837268
000695,2006,2006-12-01,677823.12,-0.023155,-0.023155,4,389945038.85,0.5752902598689759
600331,2006,2006-12-01,3885711.36,-0.022054,-0.022054,1,2238965738.23,0.5762048517751972
000063,2006,2006-12-01,19045836.98,-0.002042,-0.002042,4,11007120000.0,0.5779278700935305
600459,2006,2006-12-01,899232.0,0.418705,0.418705,1,523361044.58,0.5820089193667485
000518,2006,2006-12-01,1737291.38,0.176792,0.176792,4,1011171318.77,0.5820389892051384
000425,2006,2006-12-01,1863316.85,0.292622,0.292622,4,1085388417.92,0.5825034094013587
000515,2006,2006-12-01,630366.11,-0.028065,-0.028065,4,367290005.88,0.5826614090659157
600714,2006,2006-12-01,249590.25,0.079186,0.079186,1,145861949.52,0.5844056389221935
600239,2006,2006-12-01,530314.65,0.348558,0.348558,1,310326926.05,0.5851750956719751
000056,2006,2006-12-01,270546.71,-0.061697,-0.061697,4,158610329.47,0.5862585779365049
600169,2006,2006-12-01,1587700.8,0.22452,0.22452,1,931447976.58,0.5866646767325431
600794,2006,2006-12-01,340503.08,-0.017115,-0.017115,1,200519752.83,0.5888926256702289
600825,2006,2006-12-01,1486606.59,0.009244,0.009244,1,877758103.66,0.5904441091304459
600963,2006,2006-12-01,1914772.38,0.238095,0.238095,1,1131092056.56,0.5907188072976068
000826,2006,2006-12-01,632937.5,0.027704,0.027704,4,374196822.82,0.5912065927836476
000061,2006,2006-12-01,3357099.45,0.100086,0.100086,4,1985067935.48,0.5913044772861883
600251,2006,2006-12-01,677160.0,0.078184,0.078184,1,401386048.36,0.5927492001299546
600790,2006,2006-12-01,1854736.61,0.215205,0.215205,1,1101170350.26,0.5937071303401942
600009,2006,2006-12-01,17033760.26,0.126349,0.126185,1,10143900626.0,0.5955174002196506
600308,2006,2006-12-01,4721362.21,0.415369,0.415369,1,2821343955.27,0.5975699024519451
600582,2006,2006-12-01,1685944.0,0.018375,0.018375,1,1008388258.83,0.5981149189000347
600673,2006,2006-12-01,468470.03,-0.173536,-0.173536,1,282196249.58,0.6023784479446849
002010,2006,2006-12-01,850339.01,0.400911,0.400911,4,513325157.53,0.6036711846608095
600811,2006,2006-12-01,5781053.74,0.313253,0.313253,1,3495350363.61,0.6046216694761257
600766,2006,2006-12-01,222493.94,0.021875,0.021875,1,134676249.36,0.6053029999828311
000014,2006,2006-12-01,622826.67,-0.033422,-0.033422,4,377249971.41,0.605706193361951
000758,2006,2006-12-01,2820922.63,0.017263,0.017263,4,1712572745.15,0.607096673597886
002045,2006,2006-12-01,1071012.48,0.194805,0.194805,4,650561780.0,0.6074268901142963
600624,2006,2006-12-01,837295.4,-0.028249,-0.028249,1,509540881.94,0.6085556924593161
600352,2006,2006-12-01,2072954.03,0.091133,0.091133,1,1263159894.69,0.6093525839982086
600755,2006,2006-12-01,2227478.39,0.156627,0.156627,1,1360128440.41,0.6106135289644719
600840,2006,2006-12-01,902352.51,0.087782,0.087782,1,551418187.61,0.6110895481523069
600326,2006,2006-12-01,764928.0,0.482143,0.482143,1,470533447.8,0.6151342973456325
000678,2006,2006-12-01,614608.31,0.009375,0.009375,4,378714669.84,0.616188658171576
600048,2006,2006-12-01,6498000.0,0.188477,0.188477,1,4008759959.01,0.616922123578024
600151,2006,2006-12-01,2542118.09,-0.150699,-0.150699,1,1570059197.59,0.6176185141698118
600748,2006,2006-12-01,2770322.63,0.024497,0.024497,1,1716102393.19,0.619459399640395
600636,2006,2006-12-01,1464699.61,0.093085,0.093085,1,908874641.27,0.6205194806257919
000716,2006,2006-12-01,375699.95,0.046584,0.046584,4,233346848.27,0.6210989601409317
600844,2006,2006-12-01,215660.98,0.178517,0.178517,1,134304512.76,0.6227575927736209
600803,2006,2006-12-01,591559.2,0.002801,0.002801,1,368512240.85,0.622950739080721
600110,2006,2006-12-01,1353041.87,-0.058893,-0.058893,1,844670569.62,0.6242752632776989
000997,2006,2006-12-01,1229262.23,-0.025185,-0.025185,4,769510456.43,0.625993736446291
600868,2006,2006-12-01,3714418.38,0.040359,0.040359,1,2326103207.97,0.626236188280438
600240,2006,2006-12-01,1167794.2,0.033898,0.033898,1,732077040.39,0.6268887449432443
600867,2006,2006-12-01,2034294.91,0.136063,0.136063,1,1275980282.05,0.6272346628690134
000566,2006,2006-12-01,503872.16,0.043716,0.043716,4,317386366.86,0.6298946281532999
600689,2006,2006-12-01,343062.72,0.218354,0.218354,1,216987184.39,0.6325000407797151
002018,2006,2006-12-01,469227.73,0.103261,0.103261,4,297265762.92,0.6335213030142102
000682,2006,2006-12-01,2077564.99,0.080769,0.080769,4,1319217882.99,0.6349827270577947
600432,2006,2006-12-01,1573682.4,0.110323,0.110323,1,1005729066.64,0.6390927843127686
000558,2006,2006-12-01,296826.0,0.00616,0.00616,4,190443277.87,0.6415990441201243
000548,2006,2006-12-01,1717595.36,0.173913,0.173913,4,1103596109.41,0.6425239233354706
600838,2006,2006-12-01,852218.87,-0.075,-0.075,1,549071700.38,0.6442848424372485
000850,2006,2006-12-01,1721125.69,0.392371,0.392371,4,1109104903.7,0.6444066869398714
600594,2006,2006-12-01,659340.0,0.044706,0.044706,1,425694423.45,0.6456371878696878
600219,2006,2006-12-01,4466188.96,0.151088,0.151088,1,2884238802.52,0.6457941722465769
600657,2006,2006-12-01,974394.17,-0.089347,-0.089347,1,629536851.7,0.6460802733456421
002015,2006,2006-12-01,442010.89,-0.00314,-0.00314,4,285694751.46,0.6463522911392522
000024,2006,2006-12-01,6953182.64,0.388454,0.388454,4,4497740069.0,0.646860625107929
002032,2006,2006-12-01,1399122.72,0.169697,0.169697,4,905663398.1,0.6473080489322623
002048,2006,2006-12-01,1664500.97,0.039864,0.039864,4,1077800095.4199998,0.6475214582902885
600316,2006,2006-12-01,2278800.0,-0.127739,-0.127739,1,1489644348.68,0.6536968354748114
000651,2006,2006-12-01,4813124.86,0.059821,0.059821,4,3146697223.11,0.653774276512328
600177,2006,2006-12-01,7996368.08,0.361111,0.361111,1,5239707973.18,0.6552609785791652
600793,2006,2006-12-01,219026.26,0.022917,0.022917,1,144407907.45,0.6593177797493323
000701,2006,2006-12-01,1069193.1,0.01473,0.01473,4,707617831.02,0.6618241653635811
600111,2006,2006-12-01,2169847.68,0.39555,0.39555,1,1436896451.26,0.6622107461755103
000839,2006,2006-12-01,7640330.12,0.171546,0.171546,4,5067328852.59,0.6632342808493725
000685,2006,2006-12-01,532550.18,-0.015909,-0.015909,4,353752642.59,0.664261614914861
600768,2006,2006-12-01,263036.45,-0.027119,-0.027118,1,175043124.73000002,0.6654709821775652
600973,2006,2006-12-01,1030204.92,0.181227,0.181227,1,687788235.96,0.6676227443759442
000608,2006,2006-12-01,1588531.46,-0.046841,-0.046841,4,1061629000.0,0.6683084513793639
600069,2006,2006-12-01,1089386.69,0.086294,0.086294,1,728533694.64,0.6687558250229769
600706,2006,2006-12-01,199875.11,0.004902,0.004902,1,133800863.88,0.6694223401803255
600403,2006,2006-12-01,414180.0,0.044248,0.044248,1,277465422.76,0.669915067748322
600692,2006,2006-12-01,687819.5,-0.065104,-0.065104,1,462123807.05,0.6718678476693377
000501,2006,2006-12-01,1582923.46,0.047445,0.047445,4,1064325660.79,0.6723797376722181
600252,2006,2006-12-01,530700.93,0.200708,0.200708,1,356944831.62,0.6725913060299329
600750,2006,2006-12-01,1110320.64,0.048212,0.048212,1,748623884.4,0.674241167308211
600323,2006,2006-12-01,1268898.15,0.015569,0.015569,1,857762008.9,0.6759896441649
600475,2006,2006-12-01,1265664.0,0.068465,0.068465,1,856522230.43,0.676737451985677
002039,2006,2006-12-01,773748.55,0.064865,0.064865,4,523780616.96,0.6769390610942017
600206,2006,2006-12-01,984555.0,0.36165,0.36165,1,669212057.92,0.6797101816759855
